공연장코드,공연시설명,공연장명,공연장이미지,객석배치도,배치간격정보,검색횟수
FC000302-01,롯데문화홀 [인천],,,,,0
FC000303-01,작은극장 돌체,,,,,0
FC000310-01,검단복지회관,공연장 (대강당),,,,0
FC000320-01,유스퀘어 문화관,금호아트홀,,,,0
FC000320-02,유스퀘어 문화관,동산아트홀,,,,0
FC000323-01,대전평송청소년문화센터,대극장,,,,0
FC000323-02,대전평송청소년문화센터,소극장,,,,0
FC000325-01,인천학생교육문화회관,싸리재홀 (대공연장),,,,0
FC000325-02,인천학생교육문화회관,이든홀 (소공연장),,,,0
FC000331-01,예전아트센터,,,,,0
FC000332-01,평택시북부문예회관,대공연장,,,,0
FC000332-02,평택시북부문예회관,소공연장,,,,0
FC000335-01,달성문화원,,,,,0
FC000336-01,평택시서부문예회관,대공연장,,,,0
FC000336-02,평택시서부문예회관,소공연장,,,,0
FC000342-01,대구청소년수련원,대극장,,,,0
FC000345-01,강릉단오제전수교육관,공연장,,,,0
FC000352-01,광주광역시 청소년수련원,빛고을예술회관,,,,0
FC000353-01,가나의집열림홀,,,,,0
FC000355-01,삼척문화예술회관,대공연장,,,,0
FC000355-02,삼척문화예술회관,소공연장,,,,0
FC000355-03,삼척문화예술회관,야외공연장,,,,0
FC000358-01,속초문화회관,대공연장,,,,0
FC000358-02,속초문화회관,소공연장,,,,0
FC000360-02,라이브 썸데이즈홀,,,,,0
FC000360-03,이수아트홀 [대전],,,,,0
FC000362-01,선돌극장,,,,,0
FC000365-01,원주치악예술관,,,,,0
FC000371-01,춘천문화예술회관,공연장,,,,0
FC000372-01,아티스탄홀,,,,,0
FC000375-01,태백문화예술회관,대공연장,,,,0
FC000375-02,태백문화예술회관,소공연장,,,,0
FC000375-03,태백문화예술회관,야외공연장,,,,0
FC000380-01,KBS 홀,,,,,0
FC000382-01,티오엠씨어터,1관,,,,0
FC000382-02,티오엠씨어터,2관,,,,0
FC000382-03,티오엠씨어터,연습실 A,,,,0
FC000383-01,시네코아 비밥 전용관 (셰프전용관),,,,,0
FC000384-01,영산아트홀,,,,,0
FC000388-01,동숭아트센터,소극장,,,,0
FC000388-02,동숭아트센터,동숭홀,,,,0
FC000388-03,동숭아트센터,꼭두소극장,,,,0
FC000389-01,대학로스타시티,콘텐츠룸,,,,0
FC000389-02,대학로스타시티,타이니앨리스,,,,0
FC000389-03,대학로스타시티,후암스테이지 1관,,,,0
FC000389-04,대학로스타시티,후암스튜디오,,,,0
FC000394-01,봄내극장,,,,,0
FC000396-01,제주관광대학교 컨벤션홀,,,,,0
FC000398-01,제주대학교 아라뮤즈홀,,,,,0
FC000400-01,증평문화회관,대강당,,,,0
FC000402-01,두산아트센터,Space111,,,,0
FC000402-02,두산아트센터,연강홀,,,,0
FC000403-01,청주예술의전당,대공연장,,,,0
FC000403-03,청주예술의전당,소공연장,,,,0
FC000405-01,충주시문화회관,,,,,0
FC000406-01,칠암문화센터,,,,,0
FC000407-01,호암예술관,,,,,0
FC000408-01,하늘바람소극장,,,,,0
FC000412-01,계룡문화예술의전당,대공연장,,,,0
FC000412-02,계룡문화예술의전당,소공연장 (다목적홀),,,,0
FC000415-01,공주문예회관,대공연장,,,,0
FC000415-02,공주문예회관,소공연장,,,,0
FC000416-01,소극장 알과핵,,,,,0
FC000417-01,롯데호텔 [부산],아트홀,,,,0
FC000417-03,롯데호텔 [부산],크리스탈볼룸,,,,0
FC000417-04,롯데호텔 [부산],6 층 실내ㆍ야외 수영장,,,,0
FC000418-01,금산다락원 생명의집,대공연장,,,,0
FC000418-02,금산다락원 생명의집,소공연장,,,,0
FC000419-01,마당세실극장,,,,,0
FC000420-01,5.18 기념문화센터,민주홀,,,,0
FC000420-02,5.18 기념문화센터,대동홀,,,,0
FC000422-01,종로구민회관,,,,,0
FC000424-01,당진문예의전당,대공연장,,,,0
FC000424-02,당진문예의전당,소공연장,,,,0
FC000426-01,보령문화문예술회관,대공연장,,,,0
FC000426-02,보령문화문예술회관,소공연장,,,,0
FC000428-01,부여국악의전당,,,,,0
FC000429-01,서산시문화회관,대공연장,,,,0
FC000429-02,서산시문화회관,소공연장,,,,0
FC000430-01,궁동예술극장,,,,,0
FC000431-01,서천문예의전당,대공연장,,,,0
FC000431-02,서천문예의전당,소공연장,,,,0
FC000433-01,세종문화예술회관,,,,,0
FC000435-01,예산문예회관,,,,,0
FC000437-01,천안시시민문화여성회관 성환분관,대공연장,,,,0
FC000437-02,천안시시민문화여성회관 성환분관,소공연장,,,,0
FC000439-01,천안시시민문화여성회관 신부분관,대강당,,,,0
FC000439-02,천안시시민문화여성회관 신부분관,소강당,,,,0
FC000441-01,청양문예회관,대공연장,,,,0
FC000441-02,청양문예회관,소공연장,,,,0
FC000443-01,태안문화예술회관,대공연장,,,,0
FC000443-02,태안문화예술회관,소강당,,,,0
FC000445-02,홍주문화회관,대공연장,,,,0
FC000445-03,홍주문화회관,소공연장,,,,0
FC000447-01,군산예술의전당,대공연장,,,,0
FC000447-02,군산예술의전당,소공연장,,,,0
FC000449-01,김제문화예술회관,소공연장,,,,0
FC000449-02,김제문화예술회관,대공연장,,,,0
FC000453-02,봄날아트홀,2관,,,,0
FC000453-03,봄날아트홀,1관,,,,0
FC000455-01,부안예술회관,공연장,,,,0
FC000459-01,충청북도학생교육문화원,대공연장,,,,0
FC000459-02,충청북도학생교육문화원,소공연장,,,,0
FC000461-01,북촌아트홀,,,,,0
FC000463-01,솜리문화예술회관,중공연장,,,,0
FC000463-02,솜리문화예술회관,소공연장,,,,0
FC000468-01,대전중구문화원,뿌리홀,,,,0
FC000469-01,전북대학교 삼성문화회관,대공연장,,,,0
FC000469-02,전북대학교 삼성문화회관,건지아트홀,,,,0
FC000470-01,대전가톨릭문화회관,아트홀,,,,0
FC000471-01,정읍사예술회관,,,,,0
FC000472-01,우송예술회관,,,,,0
FC000474-01,천안시청 봉서홀,봉서홀,,,,0
FC000475-01,춘향문화예술회관,대공연장,,,,0
FC000475-02,춘향문화예술회관,소공연장,,,,0
FC000477-01,한국소리문화의전당,야외공연장,,,,0
FC000477-02,한국소리문화의전당,모악당,,,,0
FC000477-03,한국소리문화의전당,명인홀,,,,0
FC000477-04,한국소리문화의전당,연지홀,,,,0
FC000477-05,한국소리문화의전당,국제회의장,,,,0
FC000477-06,한국소리문화의전당,중정,,,,0
FC000477-07,한국소리문화의전당,전시장 옥상,,,,0
FC000479-01,전북예술회관,대공연장,,,,0
FC000481-01,강진아트홀,대공연장,,,,0
FC000481-02,강진아트홀,소공연장,,,,0
FC000484-01,진영한빛도서관,공연장,,,,0
FC000485-01,나주문화예술회관,,,,,0
FC000487-01,담양문화회관,대공연장,,,,0
FC000487-02,담양문화회관,소공연장,,,,0
FC000488-01,소극장 축제,,,,,0
FC000491-01,목포시민문화체육센터,대공연장,,,,0
FC000491-02,목포시민문화체육센터,소공연장,,,,0
FC000491-03,목포시민문화체육센터,야외공연장,,,,0
FC000493-01,순천문화예술회관,대극장,,,,0
FC000493-02,순천문화예술회관,소극장,,,,0
FC000497-01,부산시민회관,대극장,,,,0
FC000497-02,부산시민회관,소극장,,,,0
FC000506-01,진남문예회관,,,,,0
FC000509-01,진도향토문화회관,대공연장,,,,0
FC000509-02,진도향토문화회관,소공연장,,,,0
FC000515-01,경산시민회관,대강당,,,,0
FC000516-01,열린극장,,,,,0
FC000517-01,경주예술의전당,대공연장 (화랑홀),,,,0
FC000517-02,경주예술의전당,소공연장 (원화홀),,,,0
FC000518-01,구미시문화예술회관,대공연장,,,,0
FC000518-02,구미시문화예술회관,소공연장,,,,0
FC000521-01,강원대학교 백령아트센터,,,,,0
FC000525-01,문경문화예술회관,대공연장,,,,0
FC000525-02,문경문화예술회관,문희아트홀,,,,0
FC000526-01,연우소극장,,,,,0
FC000528-01,동덕여대공연예술센터,코튼홀,,,,0
FC000529-01,상주문화회관,대공연장,,,,0
FC000529-02,상주문화회관,소공연장,,,,0
FC000537-01,안동문화예술의전당,웅부홀,,,,0
FC000537-02,안동문화예술의전당,백조홀,,,,0
FC000543-01,한중문화관,공연장,,,,0
FC000546-01,영천시민회관,스타홀,,,,0
FC000548-01,예주문화예술회관,,,,,0
FC000550-01,수원청소년문화센터,은하수홀,,,,0
FC000550-02,수원청소년문화센터,온누리아트홀,,,,0
FC000556-01,울진문화예술회관,,,,,0
FC000558-02,북촌나래홀,,,,,0
FC000559-01,인제하늘내린센터,대극장,,,,0
FC000559-02,인제하늘내린센터,소극장,,,,0
FC000562-01,포항시립중앙아트홀,포항중앙아트홀,,,,0
FC000564-01,복사골문화센터,아트홀,,,,0
FC000564-02,복사골문화센터,판타지아공연장,,,,0
FC000566-01,대구오페라하우스,,,,,0
FC000566-02,대구오페라하우스,별관 카메라타,,,,0
FC000567-01,꿈의숲아트센터,퍼포먼스홀,,,,0
FC000567-02,꿈의숲아트센터,콘서트홀,,,,0
FC000568-01,남산골한옥마을,서울남산국악당,,,,0
FC000568-02,남산골한옥마을,민씨가옥,,,,0
FC000568-03,남산골한옥마을,천우각무대,,,,0
FC000568-04,남산골한옥마을,일대,,,,0
FC000570-01,동국대학교,이해랑예술극장,,,,0
FC000573-01,한국의집,민속극장,,,,0
FC000573-02,한국의집,중정마당,,,,0
FC000576-01,NH 아트홀 판타스틱 전용관,,,,,0
FC000577-01,정보소극장,,,,,0
FC000578-01,사천문화예술회관,대공연장,,,,0
FC000578-02,사천문화예술회관,소공연장,,,,0
FC000580-01,명동난타극장,,,,,0
FC000581-01,안성남사당공연장,공연장,,,,0
FC000581-02,안성남사당공연장,야외공연장,,,,0
FC000584-01,함안문화예술회관,,,,,0
FC000585-01,함양문화예술회관,대공연장,,,,0
FC000585-02,함양문화예술회관,소공연장,,,,0
FC000586-01,합천군문화예술회관,대공연장,,,,0
FC000591-01,청춘나비아트홀,,,,,0
FC000600-01,문학시어터,,,,,0
FC000603-01,동구청소년수련관,공연장,,,,0
FC000610-01,광주학생교육문화회관,공연장,,,,0
FC000611-01,소극장 마당 [대전],,,,,0
FC000612-01,포천반월아트홀,대극장,,,,0
FC000612-02,포천반월아트홀,소극장,,,,0
FC000612-03,포천반월아트홀,전시장,,,,0
FC000613-01,유앤아이센터,화성아트홀,,,,0
FC000616-02,대전서구문화원,공연장 (아트홀),,,,0
FC000617-01,갤러리아 [타임월드],공연장,,,,0
FC000621-01,소극장 커튼콜,,,,,0
FC000623-01,소극장 고도,,,,,0
FC000627-01,현대백화점 문화홀 [울산],,,,,0
FC000629-01,CK 아트홀,,,,,0
FC000642-01,동두천시민회관,,,,,0
FC000643-01,오정아트홀,,,,,0
FC000649-01,장안구민회관 한누리아트홀,,,,,0
FC000653-01,KPU 아트센터,,,,,0
FC000662-01,세종국악당,,,,,0
FC000664-01,용인문화예술원,마루홀,,,,0
FC000666-01,문산행복센터,대공연장,,,,0
FC000666-02,문산행복센터,소공연장,,,,0
FC000667-01,파주시민회관,대공연장,,,,0
FC000667-02,파주시민회관,소공연장,,,,0
FC000667-03,파주시민회관,야외공연장,,,,0
FC000676-01,원주백운아트홀,,,,,0
FC000678-01,축제극장 몸짓,,,,,0
FC000680-01,춘천인형극장,대극장,,,,0
FC000680-02,춘천인형극장,물의나라 꿈의나라 (야외무대),,,,0
FC000680-03,춘천인형극장,코코극장,,,,0
FC000680-04,춘천인형극장,바우극장,,,,0
FC000680-05,춘천인형극장,하늘극장,,,,0
FC000688-01,아산시청 시민홀,,,,,0
FC000692-01,충남학생교육문화원,대공연장,,,,0
FC000692-02,충남학생교육문화원,소공연장,,,,0
FC000711-01,김해 장유문화센터,공연장,,,,0
FC000714-01,현장아트홀,,,,,0
FC000719-01,함안문화원,대공연장,,,,0
FC000719-02,함안문화원,소공연장,,,,0
FC000724-01,한라아트홀,대극장,,,,0
FC000724-02,한라아트홀,다목적홀,,,,0
FC000724-03,한라아트홀,소극장,,,,0
FC000730-01,국립부산국악원,연악당,,,,0
FC000730-02,국립부산국악원,예지당,,,,0
FC000736-01,올래홀,,,,,0
FC000738-01,부암아트홀,,,,,0
FC000742-01,고흥종합문화회관,김연수실,,,,0
FC000742-02,고흥종합문화회관,송순섭실,,,,0
FC000743-01,광양시문화예술회관,대공연장,,,,0
FC000743-02,광양시문화예술회관,소공연장,,,,0
FC000744-01,학전,블루소극장,,,,0
FC000746-01,동해문화예술회관,대극장,,,,0
FC000749-01,파랑씨어터,,,,,0
FC000751-01,영월군문화예술회관,,,,,0
FC000752-01,드림아트홀,,,,,0
FC000757-01,난계국악당,,,,,0
FC000760-01,옥천문화예술회관,,,,,0
FC000761-01,음성문화예술회관,대공연장,,,,0
FC000762-01,제천시문화회관,대강당,,,,0
FC000763-01,상명아트홀,1관,,,,0
FC000763-02,상명아트홀,2관,,,,0
FC000769-01,대학로 마로니에소극장,,,,,0
FC000773-01,예술극장 나무와물,,,,,0
FC000774-01,대학로단막극장,,,,,0
FC000780-01,광주북구청소년수련관,상상마루,,,,0
FC000783-01,구로아트밸리예술극장,,,,,0
FC000784-01,금나래아트홀,,,,,0
FC000785-01,대학로자유극장,,,,,0
FC000787-01,강남구민회관,강당,,,,0
FC000788-01,마포아트센터,아트홀맥,,,,0
FC000788-02,마포아트센터,플레이맥,,,,0
FC000788-06,마포아트센터,스튜디오 3,,,,0
FC000790-01,창녕문화예술회관,대공연장,,,,0
FC000790-02,창녕문화예술회관,소공연장,,,,0
FC000791-01,라트어린이극장,,,,,0
FC000793-01,용산아트홀,대극장 미르,,,,0
FC000793-02,용산아트홀,소극장 가람,,,,0
FC000794-01,세우아트센터,1관,,,,0
FC000794-02,세우아트센터,2관,,,,0
FC000797-01,63 아트홀,,,,,0
FC000798-01,산울림소극장,,,,,0
FC000800-01,강서구민회관,우장홀,,,,0
FC000802-01,가톨릭청년회관,CY 씨어터 (다리소극장),,,,0
FC000804-01,가평문화예술회관,대공연장,,,,0
FC000804-02,가평문화예술회관,야외공연장,,,,0
FC000806-01,틴틴홀,,,,,0
FC000808-01,과천시민회관,대극장,,,,0
FC000808-02,과천시민회관,소극장,,,,0
FC000810-01,흰물결아트센터,화이트홀,,,,0
FC000810-02,흰물결아트센터,아트홀,,,,0
FC000810-03,흰물결아트센터,예술극장,,,,0
FC000811-01,SCC 홀,공연장,,,,0
FC000815-01,M 극장,,,,,0
FC000817-01,삼청각,일화당,,,,0
FC000819-01,고양어울림누리,별모래극장,,,,0
FC000819-2,고양어울림누리,어울림극장,,,,0
FC000823-01,용인시문화예술회관,처인홀,,,,0
FC000824-01,이천아트홀,대공연장,,,,0
